,STATE,IDHM
0,GO,0.6949918699186992
1,MG,0.6678745603751463
2,PA,0.5816573426573426
3,CE,0.6167119565217388
4,BA,0.5940359712230218
5,PR,0.7019974937343358
6,SC,0.7316006825938557
7,PE,0.5962756756756757
8,TO,0.6398848920863307
9,MA,0.5761705069124423
10,RN,0.6109041916167665
11,PI,0.5711964285714279
12,RS,0.713558467741936
13,MT,0.6840709219858156
14,AC,0.5864090909090909
15,SP,0.739564341085272
16,ES,0.6920000000000002
17,AL,0.5635392156862744
18,PB,0.5877713004484301
19,MS,0.6795384615384614
20,RO,0.6441346153846156
21,RR,0.6100666666666666
22,AM,0.5652258064516127
23,AP,0.643125
24,SE,0.5971066666666668
25,RJ,0.7088478260869565
26,DF,0.82
