,STATE,MUN_EXPENDIT
0,GO,72026815.10404624
1,MG,63177645.52272727
2,PA,176056090.5952381
3,CE,108448390.4113924
4,BA,88714307.72509961
5,PR,75639754.0120482
6,SC,63949941.93650793
7,PE,98816424.42774567
8,TO,34834036.01149426
9,MA,66609715.90225564
10,RN,55358657.333333336
11,PI,39586541.222222224
12,RS,64798352.24946695
13,MT,70740802.97938144
14,AC,86997839.93333334
15,SP,240750072.2693727
16,ES,150008776.73584905
17,AL,115362275.41176471
18,PB,39589979.130718954
19,MS,115657222.3880597
20,RO,70856987.91304348
21,RR,186644353.4
22,AM,146185746.0952381
23,AP,335867965.0
24,SE,61324722.583333336
25,RJ,879699546.4047619
26,DF,
