,STATE,TAXES
0,GO,69143.84097560978
1,MG,49257.74499413828
2,PA,78540.2335416667
3,CE,87751.4210869565
4,BA,65812.49244604316
5,PR,64275.51716791985
6,SC,120074.16128813574
7,PE,75921.4734054054
8,TO,17245.2173381295
9,MA,35711.95442396313
10,RN,33374.39520958084
11,PI,19378.827008928572
12,RS,96091.78283702211
13,MT,71174.88382978724
14,AC,55235.035
15,SP,443340.63280620176
16,ES,206999.52641025645
17,AL,16010.987843137254
18,PB,27438.620493273556
19,MS,100207.24417721518
20,RO,72432.9628846154
21,RR,7368.705333333333
22,AM,208770.65951612906
23,AP,54006.517500000016
24,SE,53183.24986666667
25,RJ,275849.16076086974
26,DF,29145585.42
